address,body,label,category
CP-REFRAL,Invite friends to Meesho with code G5U6JD and earn Rs.975 for every signup https://earnbonus.co/yY9WAHk7Z,spam,referral_program
AX-ZESTMY,Split bills with Simpl. No-cost EMI and pay-later limit up to Rs.59000. https://shopcredit.co/SE2Q1,spam,bnpl_offer
BZ-GOIBIB,Goibibo: Flash sale live. Save up to Rs.6000 on flights & hotels. Book now https://mmt.to/IaIe8G7,spam,travel_flash_sale
AX-FESTIV,Festive sale on EatSure: up to 46% OFF + extra Rs.500 off today only https://festive-offers.in/5rvsT,spam,festival_sale
DM-AUTOFX,Cars24: Car service offer unlocked. Save Rs.1600 on pickup & drop maintenance https://carcare.in/frjTC7pDRy,spam,auto_service_offer
VM-OFFERS,Your Magicpin coupon is live. Use code SAVE65 and save Rs.75. https://zoma.to/Y1HrNom5,spam,food_delivery_offer
JM-JERUMY,RummyTime offer: deposit Rs.150 get Rs.11700 playable chips today only https://rmy.onl/bHBPf,spam,rummy_bonus
VM-BIGDAY,Festive sale on Paytm: up to 63% OFF + extra Rs.2050 off today only https://rb.gy/AHSDsPDut,spam,festival_sale
CP-MYNTRA,Only for you: exclusive Nykaa offer up to 74% OFF + prepaid savings. https://amzn.to/zyTjUSvG7u,spam,ecommerce_sale
AD-BIGDAY,Mega savings are live on Swiggy. Use your festive coupon before stock ends https://bit.ly/vG7Cw53W8,spam,festival_sale
VM-AIRTEL,Special Jio recharge pack live now. Save on prepaid plan before 17:30 https://vi.in/t5AWQLj,spam,telecom_recharge
BZ-LAZPAY,"Your LazyPay pay-later limit is ready: Rs.99000. Use on shopping, travel and food https://shopcredit.co/n16F1N2L",spam,bnpl_offer
JD-JLRUMY,Congrats! Your Junglee Rummy account unlocked Rs.6550 instant cash games. Join now https://playnow.app/N2Bqpepga,spam,rummy_bonus
AX-STUDYX,"Admissions open on UpGrad. Limited seats, expert mentors, easy EMI. Enrol now https://upgrad.co/a5BmQO",spam,edtech_promo
TX-GARAGE,Book with GoMechanic today and get flat Rs.2600 off on your next service https://autodeal.app/acWJ5JwtvN,spam,auto_service_offer
VK-GAMEZY,Your fantasy wallet is eligible for booster contest on Dream11. Join now https://cutt.ly/FF6qtIeb,spam,fantasy_sports
JM-BOOKMY,Your movie pass is waiting. Book on Paytm Movies and unlock flat Rs.250 off https://movieoffer.in/1lWPtjL,spam,movie_ticket_offer
AD-POKER,Final call: PokerBaazi tournament starts at 12:00. Join from Rs.1899. https://lihi.cc/WKZWoC,spam,poker_tourney
DM-TOURNY,"Adda52: Daily poker tournament live now. Buy-in Rs.699, prize pool Rs.116500. https://pokerhub.in/unNZen",spam,poker_tourney
BZ-MEGASL,Festive sale on Swiggy: up to 43% OFF + extra Rs.2800 off today only https://lihi.cc/o2Qn5EA,spam,festival_sale
+919934346021,RummyCircle: Free Rs.2950 welcome bonus + up to Rs.4250 cash table. Play now https://tinyurl.com/yyurC,spam,rummy_bonus
+919478688306,PariPlay: VIP tables open now. Grab Rs.28400 bonus chips and spin instantly https://bit.ly/rIFjmLuuq,spam,casino_vip
CP-BNPLOK,"Your Simpl pay-later limit is ready: Rs.6000. Use on shopping, travel and food https://shopcredit.co/1Sufarp",spam,bnpl_offer
+919326703047,Exclusive MegaSpin VIP pass for you. Deposit today and unlock Rs.44700 reward https://rb.gy/FbFdicj,spam,casino_vip
DM-YATRAA,Weekend getaway alert from MakeMyTrip. Extra Rs.5100 off with limited seats. https://yatraa.in/KScflKLL,spam,travel_flash_sale
JM-ZOMATO,Your Dominos coupon is live. Use code SAVE240 and save Rs.300. https://swiggy.in/s3GXAxTyA,spam,food_delivery_offer
+917769962874,Book your apartment visit with SquareYards and unlock launch pricing in Mumbai. https://realtydeal.co/U95uv,spam,real_estate_lead
+919874377556,Need cash? MoneyView can disburse Rs.155000 directly to your bank. Apply now https://s.id/ILePafh,spam,instant_loan_offer
BZ-FESTIV,Festive sale on Paytm: up to 62% OFF + extra Rs.350 off today only https://salezone.app/LWmW1,spam,festival_sale
JD-GAMEZY,Your fantasy wallet is eligible for booster contest on MPL Fantasy. Join now https://leaguezone.in/VB568E,spam,fantasy_sports
JD-BNPLOK,Split bills with ZestMoney. No-cost EMI and pay-later limit up to Rs.87000. https://bnpl.app/TCRy,spam,bnpl_offer
AX-FLPKRT,Hurry! Flipkart flash sale starts now. Claim coupon worth Rs.800 before stock ends https://meesho.io/QfdFo,spam,ecommerce_sale
DM-BOOKMY,Your movie pass is waiting. Book on Miraj and unlock flat Rs.300 off https://movieoffer.in/pO0Xhn,spam,movie_ticket_offer
HP-TOURNY,Register on PokerSaint and claim seat in today's Rs.150000 GTD event. https://bit.ly/aAIyt,spam,poker_tourney
DM-ICICIB,Exclusive card offer from SBI Card. Zero joining fee and rewards worth Rs.5900. https://applycard.app/pLnznCwg7,spam,credit_card_offer
VM-WELLNS,"FitPass: Save up to 45% on wellness plans, lab tests and supplements today https://fitpass.app/J9fIf82",spam,wellness_offer
VM-GAMEZY,Only today: extra cashback on Gamezy fantasy leagues. Play and win Rs.154000. https://fantasy11.app/RZS92nF,spam,fantasy_sports
AX-RBLBNK,Exclusive card offer from HDFC Bank. Zero joining fee and rewards worth Rs.9800. https://applycard.app/hnmyTa,spam,credit_card_offer
+918550826892,Looking for property in Pune? NoBroker has verified listings and exclusive builder deals https://propertylead.app/TRGJl6LC2,spam,real_estate_lead
TX-GETAPP,Install the featured app from App Bazaar and earn reward up to Rs.240. Start now https://cutt.ly/0cm3l,spam,app_install_campaign
DM-MEGASL,Celebrate with Myntra. Limited festival deal unlocked for your number. Shop now https://lihi.cc/YpfbTnN,spam,festival_sale
AD-PHONEP,"Your Amazon Pay promo is active now. Shop, recharge or pay bills to earn Rs.750. https://paytm.me/r6esbGJt30",spam,cashback_wallet
